ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval+Stemming,31358,SUMM.TXT,0.05340,0.66000,0.09881,4

ROUGE-1+StopWordRemoval+Stemming,31358,SUMM.TXT,0.03925,0.66667,0.07414,4

ROUGE-2+StopWordRemoval+Stemming,31358,SUMM.TXT,0.02021,0.31707,0.03799,4

ROUGE-SU4+StopWordRemoval+Stemming,31358,SUMM.TXT,0.03200,0.33500,0.05842,4

ROUGE-L+StopWordRemoval+Stemming,30940,SUMM.TXT,0.20886,0.43155,0.28149,4

ROUGE-1+StopWordRemoval+Stemming,30940,SUMM.TXT,0.22168,0.44849,0.29670,4

ROUGE-2+StopWordRemoval+Stemming,30940,SUMM.TXT,0.07317,0.10859,0.08743,4

ROUGE-SU4+StopWordRemoval+Stemming,30940,SUMM.TXT,0.14060,0.15279,0.14644,4

ROUGE-L+StopWordRemoval+Stemming,30943,SUMM.TXT,0.04190,0.58333,0.07818,4

ROUGE-1+StopWordRemoval+Stemming,30943,SUMM.TXT,0.02259,0.56818,0.04346,4

ROUGE-2+StopWordRemoval+Stemming,30943,SUMM.TXT,0.00508,0.09524,0.00965,4

ROUGE-SU4+StopWordRemoval+Stemming,30943,SUMM.TXT,0.01308,0.19500,0.02451,4

ROUGE-L+StopWordRemoval+Stemming,30822,SUMM.TXT,0.10580,0.53991,0.17693,3

ROUGE-1+StopWordRemoval+Stemming,30822,SUMM.TXT,0.18444,0.32661,0.23575,3

ROUGE-2+StopWordRemoval+Stemming,30822,SUMM.TXT,0.06682,0.09360,0.07797,3

ROUGE-SU4+StopWordRemoval+Stemming,30822,SUMM.TXT,0.11379,0.12159,0.11756,3

ROUGE-L+StopWordRemoval+Stemming,30821,SUMM.TXT,0.02794,0.60417,0.05342,4

ROUGE-1+StopWordRemoval+Stemming,30821,SUMM.TXT,0.01393,0.62500,0.02725,4

ROUGE-2+StopWordRemoval+Stemming,30821,SUMM.TXT,0.00018,0.01923,0.00036,4

ROUGE-SU4+StopWordRemoval+Stemming,30821,SUMM.TXT,0.00634,0.17083,0.01222,4

ROUGE-L+StopWordRemoval+Stemming,30927,SUMM.TXT,0.10203,0.29545,0.15168,3

ROUGE-1+StopWordRemoval+Stemming,30927,SUMM.TXT,0.13188,0.26961,0.17712,3

ROUGE-2+StopWordRemoval+Stemming,30927,SUMM.TXT,0.03422,0.05043,0.04078,3

ROUGE-SU4+StopWordRemoval+Stemming,30927,SUMM.TXT,0.09382,0.09432,0.09407,3

ROUGE-L+StopWordRemoval+Stemming,30808,SUMM.TXT,0.05422,0.59167,0.09934,6

ROUGE-1+StopWordRemoval+Stemming,30808,SUMM.TXT,0.03202,0.64646,0.06101,6

ROUGE-2+StopWordRemoval+Stemming,30808,SUMM.TXT,0.01600,0.25000,0.03008,6

ROUGE-SU4+StopWordRemoval+Stemming,30808,SUMM.TXT,0.02042,0.26559,0.03793,6

ROUGE-L+StopWordRemoval+Stemming,33083,SUMM.TXT,0.15095,0.45415,0.22659,3

ROUGE-1+StopWordRemoval+Stemming,33083,SUMM.TXT,0.16908,0.55121,0.25878,3

ROUGE-2+StopWordRemoval+Stemming,33083,SUMM.TXT,0.05942,0.13123,0.08180,3

ROUGE-SU4+StopWordRemoval+Stemming,33083,SUMM.TXT,0.13018,0.21110,0.16105,3

ROUGE-L+StopWordRemoval+Stemming,32555,SUMM.TXT,0.13417,0.81481,0.23040,3

ROUGE-1+StopWordRemoval+Stemming,32555,SUMM.TXT,0.17049,0.80826,0.28158,3

ROUGE-2+StopWordRemoval+Stemming,32555,SUMM.TXT,0.15372,0.54762,0.24006,3

ROUGE-SU4+StopWordRemoval+Stemming,32555,SUMM.TXT,0.18975,0.53453,0.28008,3

ROUGE-L+StopWordRemoval+Stemming,32556,SUMM.TXT,0.05945,0.41543,0.10402,3

ROUGE-1+StopWordRemoval+Stemming,32556,SUMM.TXT,0.03681,0.45402,0.06810,3

ROUGE-2+StopWordRemoval+Stemming,32556,SUMM.TXT,0.00377,0.02966,0.00670,3

ROUGE-SU4+StopWordRemoval+Stemming,32556,SUMM.TXT,0.01913,0.11827,0.03293,3

ROUGE-L+StopWordRemoval+Stemming,31101,SUMM.TXT,0.11814,0.58796,0.19675,3

ROUGE-1+StopWordRemoval+Stemming,31101,SUMM.TXT,0.12116,0.64319,0.20391,3

ROUGE-2+StopWordRemoval+Stemming,31101,SUMM.TXT,0.04425,0.17730,0.07083,3

ROUGE-SU4+StopWordRemoval+Stemming,31101,SUMM.TXT,0.07446,0.24095,0.11376,3

ROUGE-L+StopWordRemoval+Stemming,32553,SUMM.TXT,0.05051,0.52174,0.09210,4

ROUGE-1+StopWordRemoval+Stemming,32553,SUMM.TXT,0.02435,0.54167,0.04661,4

ROUGE-2+StopWordRemoval+Stemming,32553,SUMM.TXT,0.01215,0.17391,0.02271,4

ROUGE-SU4+StopWordRemoval+Stemming,32553,SUMM.TXT,0.01784,0.20227,0.03279,4

ROUGE-L+StopWordRemoval+Stemming,31224,SUMM.TXT,0.07453,0.49306,0.12948,4

ROUGE-1+StopWordRemoval+Stemming,31224,SUMM.TXT,0.12007,0.14462,0.13121,4

